
==================================================
ROZPOCZYNAM EKSPERYMENT 1: ARCHITEKTURA
==================================================

[Eksperyment 1] Parametry: {'batch_size': 64, 'lr': 0.001, 'dropout_rate': 0.2, 'kernel_size': 3, 'num_filters': 8}

--- Start Treningu | Batch 64 LR 0.001 Kernel 3 Filters 8 Dropout 0.2 ---
Epoka [1/50]    |  Train Acc: 38.86%  |  Val Acc: 39.73%  |  LR: 0.000999
Epoka [2/50]    |  Train Acc: 38.46%  |  Val Acc: 52.05%  |  LR: 0.000996
Epoka [3/50]    |  Train Acc: 45.09%  |  Val Acc: 44.52%  |  LR: 0.000991
!!!     [Brak poprawy: 1/20]    !!!
Epoka [4/50]    |  Train Acc: 45.89%  |  Val Acc: 71.69%  |  LR: 0.000984
Epoka [5/50]    |  Train Acc: 48.86%  |  Val Acc: 76.94%  |  LR: 0.000976
Epoka [6/50]    |  Train Acc: 49.89%  |  Val Acc: 42.47%  |  LR: 0.000965
!!!     [Brak poprawy: 1/20]    !!!
Epoka [7/50]    |  Train Acc: 50.17%  |  Val Acc: 80.14%  |  LR: 0.000952
Epoka [8/50]    |  Train Acc: 56.23%  |  Val Acc: 64.16%  |  LR: 0.000938
!!!     [Brak poprawy: 1/20]    !!!
Epoka [9/50]    |  Train Acc: 55.60%  |  Val Acc: 84.70%  |  LR: 0.000922
Epoka [10/50]   |  Train Acc: 57.37%  |  Val Acc: 78.54%  |  LR: 0.000905
!!!     [Brak poprawy: 1/20]    !!!
Epoka [11/50]   |  Train Acc: 59.20%  |  Val Acc: 63.93%  |  LR: 0.000885
!!!     [Brak poprawy: 2/20]    !!!
Epoka [12/50]   |  Train Acc: 62.40%  |  Val Acc: 81.05%  |  LR: 0.000865
!!!     [Brak poprawy: 3/20]    !!!
Epoka [13/50]   |  Train Acc: 59.49%  |  Val Acc: 64.61%  |  LR: 0.000842
!!!     [Brak poprawy: 4/20]    !!!
Epoka [14/50]   |  Train Acc: 61.37%  |  Val Acc: 77.85%  |  LR: 0.000819
!!!     [Brak poprawy: 5/20]    !!!
Epoka [15/50]   |  Train Acc: 62.46%  |  Val Acc: 86.30%  |  LR: 0.000794
Epoka [16/50]   |  Train Acc: 63.26%  |  Val Acc: 80.37%  |  LR: 0.000768
!!!     [Brak poprawy: 1/20]    !!!
Epoka [17/50]   |  Train Acc: 64.46%  |  Val Acc: 71.46%  |  LR: 0.000741
!!!     [Brak poprawy: 2/20]    !!!
Epoka [18/50]   |  Train Acc: 65.43%  |  Val Acc: 64.38%  |  LR: 0.000713
!!!     [Brak poprawy: 3/20]    !!!
Epoka [19/50]   |  Train Acc: 66.80%  |  Val Acc: 76.94%  |  LR: 0.000684
!!!     [Brak poprawy: 4/20]    !!!
Epoka [20/50]   |  Train Acc: 67.09%  |  Val Acc: 76.48%  |  LR: 0.000655
!!!     [Brak poprawy: 5/20]    !!!
Epoka [21/50]   |  Train Acc: 69.83%  |  Val Acc: 83.56%  |  LR: 0.000625
!!!     [Brak poprawy: 6/20]    !!!
Epoka [22/50]   |  Train Acc: 69.14%  |  Val Acc: 93.15%  |  LR: 0.000594
Epoka [23/50]   |  Train Acc: 69.03%  |  Val Acc: 72.15%  |  LR: 0.000563
!!!     [Brak poprawy: 1/20]    !!!
Epoka [24/50]   |  Train Acc: 71.14%  |  Val Acc: 83.56%  |  LR: 0.000532
!!!     [Brak poprawy: 2/20]    !!!
Epoka [25/50]   |  Train Acc: 69.49%  |  Val Acc: 88.36%  |  LR: 0.000500
!!!     [Brak poprawy: 3/20]    !!!
Epoka [26/50]   |  Train Acc: 69.94%  |  Val Acc: 79.68%  |  LR: 0.000469
!!!     [Brak poprawy: 4/20]    !!!
Epoka [27/50]   |  Train Acc: 68.80%  |  Val Acc: 81.28%  |  LR: 0.000438
!!!     [Brak poprawy: 5/20]    !!!
Epoka [28/50]   |  Train Acc: 72.34%  |  Val Acc: 81.51%  |  LR: 0.000407
!!!     [Brak poprawy: 6/20]    !!!
Epoka [29/50]   |  Train Acc: 73.09%  |  Val Acc: 76.48%  |  LR: 0.000376
!!!     [Brak poprawy: 7/20]    !!!
Epoka [30/50]   |  Train Acc: 74.34%  |  Val Acc: 84.93%  |  LR: 0.000346
!!!     [Brak poprawy: 8/20]    !!!
Epoka [31/50]   |  Train Acc: 76.00%  |  Val Acc: 84.02%  |  LR: 0.000317
!!!     [Brak poprawy: 9/20]    !!!
Epoka [32/50]   |  Train Acc: 76.00%  |  Val Acc: 80.37%  |  LR: 0.000288
!!!     [Brak poprawy: 10/20]   !!!
Epoka [33/50]   |  Train Acc: 74.74%  |  Val Acc: 84.70%  |  LR: 0.000260
!!!     [Brak poprawy: 11/20]   !!!
Epoka [34/50]   |  Train Acc: 73.54%  |  Val Acc: 84.93%  |  LR: 0.000233
!!!     [Brak poprawy: 12/20]   !!!
Epoka [35/50]   |  Train Acc: 76.40%  |  Val Acc: 84.02%  |  LR: 0.000207
!!!     [Brak poprawy: 13/20]   !!!
Epoka [36/50]   |  Train Acc: 74.40%  |  Val Acc: 85.39%  |  LR: 0.000182
!!!     [Brak poprawy: 14/20]   !!!
Epoka [37/50]   |  Train Acc: 76.86%  |  Val Acc: 79.91%  |  LR: 0.000159
!!!     [Brak poprawy: 15/20]   !!!
