Eksperyment,Batch_Size,LR,Kernel,Filters,Dropout,Train_Accuracy,Val_Accuracy
Eksperyment_1,64,0.001,3,8,0.2,75.94,91.1
Eksperyment_1,64,0.001,3,16,0.2,73.37,87.67
Eksperyment_1,64,0.001,3,32,0.2,66.46,81.96
Eksperyment_1,64,0.001,3,64,0.2,59.26,85.84
Eksperyment_1,64,0.001,3,128,0.2,33.14,33.33
Eksperyment_1,64,0.001,5,8,0.2,72.91,79.45
Eksperyment_1,64,0.001,5,16,0.2,82.29,92.01
Eksperyment_1,64,0.001,5,32,0.2,83.77,92.24
Eksperyment_1,64,0.001,5,64,0.2,46.86,58.68
Eksperyment_1,64,0.001,5,128,0.2,36.06,32.42
Eksperyment_1,64,0.001,7,8,0.2,82.97,91.55
Eksperyment_1,64,0.001,7,16,0.2,81.89,96.8
Eksperyment_1,64,0.001,7,32,0.2,31.94,34.25
Eksperyment_1,64,0.001,7,64,0.2,48.57,61.64
Eksperyment_1,64,0.001,7,128,0.2,32.23,34.25
Eksperyment_1,64,0.001,15,8,0.2,85.37,96.35
Eksperyment_1,64,0.001,15,16,0.2,33.14,33.33
Eksperyment_1,64,0.001,15,32,0.2,33.14,33.33
Eksperyment_1,64,0.001,15,64,0.2,34.8,32.42
Eksperyment_1,64,0.001,15,128,0.2,34.74,32.42
Eksperyment_2,8,0.2,7,32,0.2,33.26,34.25
Eksperyment_2,8,0.1,7,32,0.2,33.77,34.25
Eksperyment_2,8,0.05,7,32,0.2,35.37,33.33
Eksperyment_2,8,0.01,7,32,0.2,33.03,32.42
Eksperyment_2,8,0.005,7,32,0.2,34.74,32.42
Eksperyment_2,8,0.001,7,32,0.2,34.74,32.42
Eksperyment_2,8,0.0005,7,32,0.2,34.74,32.42
Eksperyment_2,8,0.0001,7,32,0.2,83.66,95.43
Eksperyment_2,16,0.2,7,32,0.2,31.94,32.42
Eksperyment_2,16,0.1,7,32,0.2,33.43,33.33
Eksperyment_2,16,0.05,7,32,0.2,32.74,32.42
Eksperyment_2,16,0.01,7,32,0.2,33.77,32.42
Eksperyment_2,16,0.005,7,32,0.2,34.74,32.42
Eksperyment_2,16,0.001,7,32,0.2,34.74,32.42
Eksperyment_2,16,0.0005,7,32,0.2,89.49,98.63
Eksperyment_2,16,0.0001,7,32,0.2,86.74,91.55
Eksperyment_2,32,0.2,7,32,0.2,32.91,32.42
Eksperyment_2,32,0.1,7,32,0.2,33.31,24.89
Eksperyment_2,32,0.05,7,32,0.2,34.57,34.25
Eksperyment_2,32,0.01,7,32,0.2,33.89,32.42
Eksperyment_2,32,0.005,7,32,0.2,34.74,32.42
Eksperyment_2,32,0.001,7,32,0.2,34.74,32.42
Eksperyment_2,32,0.0005,7,32,0.2,82.51,95.89
Eksperyment_2,32,0.0001,7,32,0.2,78.0,89.27
Eksperyment_2,64,0.2,7,32,0.2,34.86,33.56
Eksperyment_2,64,0.1,7,32,0.2,32.23,32.42
Eksperyment_2,64,0.05,7,32,0.2,32.74,32.42
Eksperyment_2,64,0.01,7,32,0.2,34.74,32.42
Eksperyment_2,64,0.005,7,32,0.2,34.74,32.42
Eksperyment_2,64,0.001,7,32,0.2,32.51,32.42
Eksperyment_2,64,0.0005,7,32,0.2,90.63,96.8
Eksperyment_2,64,0.0001,7,32,0.2,75.83,92.01
Eksperyment_2,128,0.2,7,32,0.2,34.17,32.42
Eksperyment_2,128,0.1,7,32,0.2,34.74,32.42
Eksperyment_2,128,0.05,7,32,0.2,34.74,32.42
Eksperyment_2,128,0.01,7,32,0.2,34.74,32.42
Eksperyment_2,128,0.005,7,32,0.2,34.74,32.42
Eksperyment_2,128,0.001,7,32,0.2,43.66,56.39
Eksperyment_2,128,0.0005,7,32,0.2,85.49,91.32
Eksperyment_2,128,0.0001,7,32,0.2,73.31,87.67
Eksperyment_2,256,0.2,7,32,0.2,35.09,34.25
Eksperyment_2,256,0.1,7,32,0.2,34.29,32.42
Eksperyment_2,256,0.05,7,32,0.2,34.74,32.42
Eksperyment_2,256,0.01,7,32,0.2,34.8,32.42
Eksperyment_2,256,0.005,7,32,0.2,33.89,32.42
Eksperyment_2,256,0.001,7,32,0.2,36.63,33.79
Eksperyment_2,256,0.0005,7,32,0.2,79.14,84.7
Eksperyment_2,256,0.0001,7,32,0.2,64.06,91.1
Eksperyment_2,512,0.2,7,32,0.2,34.51,33.33
Eksperyment_2,512,0.1,7,32,0.2,33.43,32.42
Eksperyment_2,512,0.05,7,32,0.2,34.74,32.42
Eksperyment_2,512,0.01,7,32,0.2,33.14,33.33
Eksperyment_2,512,0.005,7,32,0.2,34.8,32.42
Eksperyment_2,512,0.001,7,32,0.2,42.46,53.65
Eksperyment_2,512,0.0005,7,32,0.2,68.86,86.99
Eksperyment_2,512,0.0001,7,32,0.2,61.54,83.11
Eksperyment_3,64,0.0005,7,32,0.0,90.51,94.98
Eksperyment_3,64,0.0005,7,32,0.001,85.49,93.84
Eksperyment_3,64,0.0005,7,32,0.01,91.31,94.52
Eksperyment_3,64,0.0005,7,32,0.1,89.49,95.43
Eksperyment_3,64,0.0005,7,32,0.2,90.97,93.38
Eksperyment_3,64,0.0005,7,32,0.3,88.74,96.58
Eksperyment_3,64,0.0005,7,32,0.4,87.14,95.89
Eksperyment_3,64,0.0005,7,32,0.6,84.63,95.66
Eksperyment_3,64,0.0005,7,32,0.7,79.26,96.12
Eksperyment_3,64,0.0005,7,32,0.8,61.49,89.95
Eksperyment_3,64,0.0005,7,32,0.9,64.34,89.95
