Eksperyment,Batch_Size,LR,Kernel,Filters,Dropout,Train_Accuracy,Val_Accuracy
Eksperyment_1,64,0.001,3,8,0.2,78.8,79.0
Eksperyment_1,64,0.001,3,16,0.2,77.14,86.76
Eksperyment_1,64,0.001,3,32,0.2,69.83,88.36
Eksperyment_1,64,0.001,3,64,0.2,34.74,32.42
Eksperyment_1,64,0.001,3,128,0.2,34.74,32.42
Eksperyment_1,64,0.001,5,8,0.2,85.03,92.01
Eksperyment_1,64,0.001,5,16,0.2,85.09,92.24
Eksperyment_1,64,0.001,5,32,0.2,51.26,59.36
Eksperyment_1,64,0.001,5,64,0.2,34.74,32.42
Eksperyment_1,64,0.001,5,128,0.2,34.74,32.42
Eksperyment_1,64,0.001,7,8,0.2,89.66,95.66
Eksperyment_1,64,0.001,7,16,0.2,91.43,97.72
Eksperyment_1,64,0.001,7,32,0.2,34.74,32.42
Eksperyment_1,64,0.001,7,64,0.2,34.74,32.42
Eksperyment_1,64,0.001,7,128,0.2,34.74,32.42
Eksperyment_1,64,0.001,15,8,0.2,94.34,98.63
Eksperyment_1,64,0.001,15,16,0.2,34.74,32.42
Eksperyment_1,64,0.001,15,32,0.2,34.74,32.42
Eksperyment_1,64,0.001,15,64,0.2,34.74,32.42
Eksperyment_1,64,0.001,15,128,0.2,34.74,32.42
Eksperyment_2,32,0.1,7,32,0.2,33.6,33.33
Eksperyment_2,32,0.01,7,32,0.2,34.74,32.42
Eksperyment_2,32,0.005,7,32,0.2,34.74,32.42
Eksperyment_2,32,0.001,7,32,0.2,50.63,63.47
Eksperyment_2,32,0.0005,7,32,0.2,91.03,98.4
Eksperyment_2,32,0.0001,7,32,0.2,83.66,88.13
Eksperyment_2,32,5e-05,7,32,0.2,75.94,86.76
Eksperyment_2,32,1e-05,7,32,0.2,55.31,66.67
Eksperyment_2,64,0.1,7,32,0.2,32.86,32.42
Eksperyment_2,64,0.01,7,32,0.2,34.74,32.42
Eksperyment_2,64,0.005,7,32,0.2,34.74,32.42
Eksperyment_2,64,0.001,7,32,0.2,36.8,32.42
Eksperyment_2,64,0.0005,7,32,0.2,90.74,96.58
Eksperyment_2,64,0.0001,7,32,0.2,80.74,86.07
Eksperyment_2,64,5e-05,7,32,0.2,72.57,88.58
Eksperyment_2,64,1e-05,7,32,0.2,48.8,64.61
Eksperyment_2,128,0.1,7,32,0.2,34.74,32.42
Eksperyment_2,128,0.01,7,32,0.2,34.74,32.42
Eksperyment_2,128,0.005,7,32,0.2,34.74,32.42
Eksperyment_2,128,0.001,7,32,0.2,58.4,79.22
Eksperyment_2,128,0.0005,7,32,0.2,90.51,93.15
Eksperyment_2,128,0.0001,7,32,0.2,75.71,83.11
Eksperyment_2,128,5e-05,7,32,0.2,66.8,89.04
Eksperyment_2,128,1e-05,7,32,0.2,49.14,50.0
Eksperyment_2,256,0.1,7,32,0.2,34.74,32.42
Eksperyment_2,256,0.01,7,32,0.2,34.74,32.42
Eksperyment_2,256,0.005,7,32,0.2,34.74,32.42
Eksperyment_2,256,0.001,7,32,0.2,32.29,34.25
Eksperyment_2,256,0.0005,7,32,0.2,82.0,88.13
Eksperyment_2,256,0.0001,7,32,0.2,66.74,83.56
Eksperyment_2,256,5e-05,7,32,0.2,58.0,76.94
Eksperyment_2,256,1e-05,7,32,0.2,46.4,53.88
Eksperyment_3,64,0.0005,7,32,0.0,91.71,95.89
Eksperyment_3,64,0.0005,7,32,0.05,89.14,96.35
Eksperyment_3,64,0.0005,7,32,0.1,90.4,93.84
Eksperyment_3,64,0.0005,7,32,0.2,86.74,96.58
Eksperyment_3,64,0.0005,7,32,0.3,88.86,94.98
Eksperyment_3,64,0.0005,7,32,0.4,89.66,96.35
Eksperyment_3,64,0.0005,7,32,0.5,89.31,96.35
Eksperyment_3,64,0.0005,7,32,0.6,86.06,97.26
Eksperyment_3,64,0.0005,7,32,0.7,84.06,96.8
Eksperyment_3,64,0.0005,7,32,0.8,76.86,92.24
Eksperyment_3,64,0.0005,7,32,0.9,66.0,92.24
Eksperyment_2,8,0.1,7,32,0.2,33.66,33.33
Eksperyment_2,8,0.01,7,32,0.2,34.17,32.42
Eksperyment_2,8,0.005,7,32,0.2,33.49,32.42
Eksperyment_2,8,0.001,7,32,0.2,34.74,32.42
Eksperyment_2,8,0.0005,7,32,0.2,34.74,32.42
Eksperyment_2,8,0.0001,7,32,0.2,89.71,94.75
Eksperyment_2,8,5e-05,7,32,0.2,82.97,84.02
Eksperyment_2,8,1e-05,7,32,0.2,64.57,81.96
Eksperyment_2,16,0.1,7,32,0.2,32.46,34.02
Eksperyment_2,16,0.01,7,32,0.2,34.74,32.42
Eksperyment_2,16,0.005,7,32,0.2,34.74,32.42
Eksperyment_2,16,0.001,7,32,0.2,34.74,32.42
Eksperyment_2,16,0.0005,7,32,0.2,90.97,99.09
Eksperyment_2,16,0.0001,7,32,0.2,87.37,90.64
Eksperyment_2,16,5e-05,7,32,0.2,80.74,87.67
Eksperyment_2,16,1e-05,7,32,0.2,60.06,85.16
